Departure Time           Arrival Time
2019-06-07 19:00:00      2019-06-07 21:30:00
2020-07-12 07:00:00      2020-07-12 09:30:00
2010-12-21 10:45:00      2010-12-21 13:15:00
2011-10-03 14:30:00      2011-10-03 17:00:00
2012-07-17 18:45:00      2012-07-17 21:15:00
2013-04-11 06:15:00      2013-04-11 08:45:00
2014-01-29 09:30:00      2014-01-29 12:00:00
2015-05-23 13:45:00      2015-05-23 16:15:00
2016-09-05 17:00:00      2016-09-05 19:30:00
2017-02-09 07:30:00      2017-02-09 10:00:00
2018-03-01 11:15:00      2018-03-01 13:45:00
2019-08-14 15:30:00      2019-08-14 18:00:00
2020-06-28 19:45:00      2020-06-28 22:15:00
2010-11-17 08:15:00      2010-11-17 10:45:00
2011-04-05 11:30:00      2011-04-05 14:00:00
2012-08-20 15:45:00      2012-08-20 18:15:00
2013-03-02 19:00:00      2013-03-02 21:30:00
2014-12-26 07:00:00      2014-12-26 09:30:00
2015-02-14 10:45:00      2015-02-14 13:15:00
2016-06-18 14:30:00      2016-06-18 17:00:00
2017-09-21 18:45:00      2017-09-21 21:15:00
2018-10-09 06:15:00      2018-10-09 08:45:00
2019-07-01 09:30:00      2019-07-01 12:00:00
2020-04-13 13:45:00      2020-04-13 16:15:00
2010-02-10 17:00:00      2010-02-10 19:30:00
2011-09-15 07:30:00      2011-09-15 10:00:00
2012-07-03 11:15:00      2012-07-03 13:45:00
2013-04-29 15:30:00      2013-04-29 18:00:00
2014-11-14 19:45:00      2014-11-14 22:15:00
2015-03-08 08:15:00      2015-03-08 10:45:00
2016-06-20 11:30:00      2016-06-20 14:00:00
2017-12-15 15:45:00      2017-12-15 18:15:00
2018-09-27 19:00:00      2018-09-27 21:30:00
2019-04-12 07:00:00      2019-04-12 09:30:00
2020-10-17 10:45:00      2020-10-17 13:15:00
2010-03-15 14:30:00      2010-03-15 17:00:00
2011-05-27 18:45:00      2011-05-27 21:15:00
2012-08-09 06:15:00      2012-08-09 08:45:00
2013-01-24 09:30:00      2013-01-24 12:00:00
2014-07-18 13:45:00      2014-07-18 16:15:00
2015-10-30 17:00:00      2015-10-30 19:30:00
2016-04-14 07:30:00      2016-04-14 10:00:00
2017-06-28 11:15:00      2017-06-28 13:45:00
2018-11-11 15:30:00      2018-11-11 18:00:00
2019-09-25 19:45:00      2019-09-25 22:15:00
2020-01-09 08:15:00      2020-01-09 10:45:00
2010-10-25 11:30:00      2010-10-25 14:00:00
2011-07-07 15:45:00      2011-07-07 18:15:00
2012-04-01 19:00:00      2012-04-01 21:30:00
2013-11-25 07:00:00      2013-11-25 09:30:00
2014-12-17 10:45:00      2014-12-17 13:15:00
2015-08-02 14:30:00      2015-08-02 17:00:00
