Code;CodeShare;Stops;Source Airport ID;Destination Airport;Airline ID;;;;;;;;;;;;;;;;
48;;0;2937;HTA;1654;;;;;;;;;;;;;;;;
49;;0;2937;KCK;1654;;;;;;;;;;;;;;;;
50;;0;2937;ODO;1654;;;;;;;;;;;;;;;;
51;;0;2937;OVB;1654;;;;;;;;;;;;;;;;
52;;0;2937;UKX;1654;;;;;;;;;;;;;;;;
53;;0;2937;ULK;1654;;;;;;;;;;;;;;;;
54;;0;2937;YKS;1654;;;;;;;;;;;;;;;;
55;;0;\N;IKT;1654;;;;;;;;;;;;;;;;
56;;0;2925;OVB;1654;;;;;;;;;;;;;;;;
57;;0;8944;IKT;1654;;;;;;;;;;;;;;;;
58;;0;4078;BTK;1654;;;;;;;;;;;;;;;;
59;;0;4078;CEK;1654;;;;;;;;;;;;;;;;
60;;0;4078;IKT;1654;;;;;;;;;;;;;;;;
61;;0;6924;IKT;1654;;;;;;;;;;;;;;;;
62;;0;9026;IKT;1654;;;;;;;;;;;;;;;;
63;;0;2923;IKT;1654;;;;;;;;;;;;;;;;
64;;0;2786;LIM;8359;;;;;;;;;;;;;;;;
65;;0;2812;LIM;8359;;;;;;;;;;;;;;;;
66;;0;2812;PEM;8359;;;;;;;;;;;;;;;;
67;;0;6067;LIM;8359;;;;;;;;;;;;;;;;
68;;0;2801;PCL;8359;;;;;;;;;;;;;;;;
69;;0;2801;TPP;8359;;;;;;;;;;;;;;;;
70;;0;2789;AYP;8359;;;;;;;;;;;;;;;;
71;;0;2789;CUZ;8359;;;;;;;;;;;;;;;;
72;;0;2789;HUU;8359;;;;;;;;;;;;;;;;
73;;0;2789;PCL;8359;;;;;;;;;;;;;;;;
74;;0;2789;TPP;8359;;;;;;;;;;;;;;;;
75;;0;2781;IQT;8359;;;;;;;;;;;;;;;;
76;;0;2781;LIM;8359;;;;;;;;;;;;;;;;
77;;0;2781;TPP;8359;;;;;;;;;;;;;;;;
78;;0;2808;CUZ;8359;;;;;;;;;;;;;;;;
79;;0;2806;IQT;8359;;;;;;;;;;;;;;;;
80;;0;2806;LIM;8359;;;;;;;;;;;;;;;;
81;;0;2806;PCL;8359;;;;;;;;;;;;;;;;
82;;0;253;BOY;470;;;;;;;;;;;;;;;;
83;;0;253;OUA;470;;;;;;;;;;;;;;;;
84;;0;248;OUA;470;;;;;;;;;;;;;;;;
85;;0;1044;ABJ;470;;;;;;;;;;;;;;;;
86;;0;1044;DKR;470;;;;;;;;;;;;;;;;
87;;0;1044;OUA;470;;;;;;;;;;;;;;;;
88;;0;247;ABJ;470;;;;;;;;;;;;;;;;
89;;0;247;OUA;470;;;;;;;;;;;;;;;;
90;;0;245;LFW;470;;;;;;;;;;;;;;;;
91;;0;245;OUA;470;;;;;;;;;;;;;;;;
92;;0;1084;BKO;470;;;;;;;;;;;;;;;;
93;;0;1084;OUA;470;;;;;;;;;;;;;;;;
94;;0;298;OUA;470;;;;;;;;;;;;;;;;
95;;0;280;OUA;470;;;;;;;;;;;;;;;;
96;;0;246;ABJ;470;;;;;;;;;;;;;;;;
97;;0;246;ACC;470;;;;;;;;;;;;;;;;
98;;0;246;BKO;470;;;;;;;;;;;;;;;;
99;;0;246;BOY;470;;;;;;;;;;;;;;;;
100;;0;246;COO;470;;;;;;;;;;;;;;;;
101;;0;246;DKR;470;;;;;;;;;;;;;;;;
102;;0;246;LFW;470;;;;;;;;;;;;;;;;
103;;0;246;NIM;470;;;;;;;;;;;;;;;;
104;;0;2709;GYE;1338;;;;;;;;;;;;;;;;
105;;0;2709;UIO;1338;;;;;;;;;;;;;;;;
106;;0;2715;GYE;1338;;;;;;;;;;;;;;;;
107;;0;2673;BOG;1338;;;;;;;;;;;;;;;;
108;;0;2673;CLO;1338;;;;;;;;;;;;;;;;
109;;0;2673;SCY;1338;;;;;;;;;;;;;;;;
110;;0;2673;UIO;1338;;;;;;;;;;;;;;;;
111;;0;2670;UIO;1338;;;;;;;;;;;;;;;;
112;;0;6045;GYE;1338;;;;;;;;;;;;;;;;
113;;0;2688;BOG;1338;;;;;;;;;;;;;;;;
114;;0;2688;GYE;1338;;;;;;;;;;;;;;;;
115;;0;2688;OCC;1338;;;;;;;;;;;;;;;;
116;;0;1506;ZRH;2750;;;;;;;;;;;;;;;;
117;;0;1264;ZRH;2750;;;;;;;;;;;;;;;;
118;;0;490;ZRH;2750;;;;;;;;;;;;;;;;
119;;0;1665;LPA;2750;;;;;;;;;;;;;;;;
120;;0;1197;ZRH;2750;;;;;;;;;;;;;;;;
121;;0;1054;ZRH;2750;;;;;;;;;;;;;;;;
122;;0;4197;ZRH;2750;;;;;;;;;;;;;;;;
123;;0;1056;GVA;2750;;;;;;;;;;;;;;;;
124;;0;1678;BDS;2750;;;;;;;;;;;;;;;;
125;;0;1678;BOD;2750;;;;;;;;;;;;;;;;
126;;0;1678;BRS;2750;;;;;;;;;;;;;;;;
127;;0;1678;LCA;2750;;;;;;;;;;;;;;;;
128;;0;1678;LPA;2750;;;;;;;;;;;;;;;;
129;;0;1678;RMF;2750;;;;;;;;;;;;;;;;
130;;0;730;LYC;3652;;;;;;;;;;;;;;;;
131;;0;737;GEV;3652;;;;;;;;;;;;;;;;
132;;0;737;HAD;3652;;;;;;;;;;;;;;;;
133;;0;737;JKG;3652;;;;;;;;;;;;;;;;
134;;0;737;KRF;3652;;;;;;;;;;;;;;;;
135;;0;737;KSD;3652;;;;;;;;;;;;;;;;
136;;0;737;LYC;3652;;;;;;;;;;;;;;;;
137;;0;737;MHQ;3652;;;;;;;;;;;;;;;;
138;;0;737;OER;3652;;;;;;;;;;;;;;;;
139;;0;737;POR;3652;;;;;;;;;;;;;;;;
140;;0;737;TRF;3652;;;;;;;;;;;;;;;;
141;;0;737;VBY;3652;;;;;;;;;;;;;;;;
142;;0;737;VHM;3652;;;;;;;;;;;;;;;;
143;;0;737;VXO;3652;;;;;;;;;;;;;;;;
144;;0;715;ARN;3652;;;;;;;;;;;;;;;;
145;;0;715;KRF;3652;;;;;;;;;;;;;;;;
146;;0;709;ARN;3652;;;;;;;;;;;;;;;;
147;;0;709;JKG;3652;;;;;;;;;;;;;;;;
148;;0;709;VXO;3652;;;;;;;;;;;;;;;;
149;;0;5599;VHM;3652;;;;;;;;;;;;;;;;
150;;0;688;ARN;3652;;;;;;;;;;;;;;;;
151;;0;688;HAD;3652;;;;;;;;;;;;;;;;
152;;0;435;POR;3652;;;;;;;;;;;;;;;;
153;;0;718;ARN;3652;;;;;;;;;;;;;;;;
154;;0;718;GEV;3652;;;;;;;;;;;;;;;;
155;;0;5595;ARN;3652;;;;;;;;;;;;;;;;
156;;0;719;AJR;3652;;;;;;;;;;;;;;;;
157;;0;719;ARN;3652;;;;;;;;;;;;;;;;
158;;0;442;ARN;3652;;;;;;;;;;;;;;;;
159;;0;442;TKU;3652;;;;;;;;;;;;;;;;
160;;0;722;ARN;3652;;;;;;;;;;;;;;;;
161;;0;644;VXO;3652;;;;;;;;;;;;;;;;
162;;0;448;ARN;3652;;;;;;;;;;;;;;;;
163;;0;448;KOK;3652;;;;;;;;;;;;;;;;
164;;0;460;MHQ;3652;;;;;;;;;;;;;;;;
165;;0;664;ARN;3652;;;;;;;;;;;;;;;;
166;;0;746;ARN;3652;;;;;;;;;;;;;;;;
167;;0;729;ARN;3652;;;;;;;;;;;;;;;;
168;;0;729;HMV;3652;;;;;;;;;;;;;;;;
169;;0;711;ARN;3652;;;;;;;;;;;;;;;;
170;;0;711;OSL;3652;;;;;;;;;;;;;;;;
171;;0;3531;AOS;146;;;;;;;;;;;;;;;;
172;;0;3531;KKB;146;;;;;;;;;;;;;;;;
173;;0;3531;KLN;146;;;;;;;;;;;;;;;;
174;;0;3531;KOZ;146;;;;;;;;;;;;;;;;
175;;0;3531;OLH;146;;;;;;;;;;;;;;;;
176;;0;7167;KZB;146;;;;;;;;;;;;;;;;
177;;0;7168;SYB;146;;;;;;;;;;;;;;;;
178;;0;7162;KYK;146;;;;;;;;;;;;;;;;
179;;0;7164;ORI;146;;;;;;;;;;;;;;;;
180;;0;7173;KPR;146;;;;;;;;;;;;;;;;
181;;0;6019;MNL;897;;;;;;;;;;;;;;;;
182;;0;4200;MNL;897;;;;;;;;;;;;;;;;
183;;0;2399;MNL;897;;;;;;;;;;;;;;;;
184;;0;2400;MNL;897;;;;;;;;;;;;;;;;
185;;0;6024;MNL;897;;;;;;;;;;;;;;;;
186;;0;2425;MNL;897;;;;;;;;;;;;;;;;
187;;0;8076;MNL;897;;;;;;;;;;;;;;;;
188;Y;0;2402;MNL;897;;;;;;;;;;;;;;;;
189;;0;2430;MNL;897;;;;;;;;;;;;;;;;
190;;0;4203;MNL;897;;;;;;;;;;;;;;;;
191;;0;2397;BSO;897;;;;;;;;;;;;;;;;
192;;0;2397;BXU;897;;;;;;;;;;;;;;;;
193;;0;2397;CBO;897;;;;;;;;;;;;;;;;
194;;0;2397;CGY;897;;;;;;;;;;;;;;;;
195;;0;2397;CRM;897;;;;;;;;;;;;;;;;
196;;0;2397;DGT;897;;;;;;;;;;;;;;;;
197;;0;2397;DWC;897;;;;;;;;;;;;;;;;
198;Y;0;2397;GES;897;;;;;;;;;;;;;;;;
199;;0;2397;KLO;897;;;;;;;;;;;;;;;;
200;;0;2397;LGP;897;;;;;;;;;;;;;;;;
201;;0;2397;MPH;897;;;;;;;;;;;;;;;;
202;;0;2397;OZC;897;;;;;;;;;;;;;;;;
203;;0;2397;PPS;897;;;;;;;;;;;;;;;;
204;;0;2397;RXS;897;;;;;;;;;;;;;;;;
205;;0;2397;SUG;897;;;;;;;;;;;;;;;;
206;;0;2397;TUG;897;;;;;;;;;;;;;;;;
207;;0;2397;ZAM;897;;;;;;;;;;;;;;;;
208;;0;2426;MNL;897;;;;;;;;;;;;;;;;
209;;0;4204;MNL;897;;;;;;;;;;;;;;;;
210;;0;2433;MNL;897;;;;;;;;;;;;;;;;
211;;0;6026;MNL;897;;;;;;;;;;;;;;;;
212;;0;6016;MNL;897;;;;;;;;;;;;;;;;
213;;0;6021;MNL;897;;;;;;;;;;;;;;;;
214;;0;2404;MNL;897;;;;;;;;;;;;;;;;
215;;0;7376;PMW;1729;;;;;;;;;;;;;;;;
216;;0;7373;BSB;1729;;;;;;;;;;;;;;;;
217;;0;7373;SSA;1729;;;;;;;;;;;;;;;;
218;;0;2531;BRA;1729;;;;;;;;;;;;;;;;
219;;0;2531;OPS;1729;;;;;;;;;;;;;;;;
220;;0;2531;RAO;1729;;;;;;;;;;;;;;;;
221;;0;2535;GRU;1729;;;;;;;;;;;;;;;;
222;;0;2548;GYN;1729;;;;;;;;;;;;;;;;
223;;0;2548;OPS;1729;;;;;;;;;;;;;;;;
224;;0;2538;DOU;1729;;;;;;;;;;;;;;;;
225;;0;7380;CGR;1729;;;;;;;;;;;;;;;;
226;;0;7380;GRU;1729;;;;;;;;;;;;;;;;
227;;0;2560;RAO;1729;;;;;;;;;;;;;;;;
228;;0;2564;CAC;1729;;;;;;;;;;;;;;;;
229;;0;2564;DOU;1729;;;;;;;;;;;;;;;;
230;;0;2564;RAO;1729;;;;;;;;;;;;;;;;
231;;0;2564;UBA;1729;;;;;;;;;;;;;;;;
232;;0;2564;UDI;1729;;;;;;;;;;;;;;;;
233;;0;2564;VDC;1729;;;;;;;;;;;;;;;;
234;;0;2562;CGB;1729;;;;;;;;;;;;;;;;
235;;0;2562;PMW;1729;;;;;;;;;;;;;;;;
236;;0;2562;RAO;1729;;;;;;;;;;;;;;;;
237;;0;2562;UDI;1729;;;;;;;;;;;;;;;;
238;;0;7367;BSB;1729;;;;;;;;;;;;;;;;
239;;0;7367;CGB;1729;;;;;;;;;;;;;;;;
240;;0;2528;RAO;1729;;;;;;;;;;;;;;;;
241;;0;4214;AUX;1729;;;;;;;;;;;;;;;;
242;;0;4214;GYN;1729;;;;;;;;;;;;;;;;
243;;0;2613;BSB;1729;;;;;;;;;;;;;;;;
244;;0;2613;GIG;1729;;;;;;;;;;;;;;;;
245;;0;2613;GRU;1729;;;;;;;;;;;;;;;;
246;;0;2613;GYN;1729;;;;;;;;;;;;;;;;
247;;0;2613;PLU;1729;;;;;;;;;;;;;;;;
248;;0;2613;SJP;1729;;;;;;;;;;;;;;;;
249;;0;2613;UDI;1729;;;;;;;;;;;;;;;;
250;;0;2619;RAO;1729;;;;;;;;;;;;;;;;
251;;0;2621;BRA;1729;;;;;;;;;;;;;;;;
252;;0;2621;VDC;1729;;;;;;;;;;;;;;;;
253;;0;2635;GRU;1729;;;;;;;;;;;;;;;;
254;;0;2635;UDI;1729;;;;;;;;;;;;;;;;
255;;0;2633;GRU;1729;;;;;;;;;;;;;;;;
256;;0;2633;GYN;1729;;;;;;;;;;;;;;;;
257;;0;2633;RAO;1729;;;;;;;;;;;;;;;;
258;;0;2633;UBA;1729;;;;;;;;;;;;;;;;
259;;0;6039;GRU;1729;;;;;;;;;;;;;;;;
260;;0;6039;SSA;1729;;;;;;;;;;;;;;;;
261;;0;5726;ORD;10739;;;;;;;;;;;;;;;;
262;;0;5726;STL;10739;;;;;;;;;;;;;;;;
263;;0;4042;ORD;10739;;;;;;;;;;;;;;;;
264;;0;4042;STL;10739;;;;;;;;;;;;;;;;
265;;0;3591;STL;10739;;;;;;;;;;;;;;;;
266;;0;3830;BRL;10739;;;;;;;;;;;;;;;;
267;;0;3830;DEC;10739;;;;;;;;;;;;;;;;
268;;0;3678;BRL;10739;;;;;;;;;;;;;;;;
269;;0;3678;DEC;10739;;;;;;;;;;;;;;;;
270;;0;3678;JBR;10739;;;;;;;;;;;;;;;;
271;;0;7144;HYL;16262;;;;;;;;;;;;;;;;
272;;0;7144;KTN;16262;;;;;;;;;;;;;;;;
273;;0;7145;CGA;16262;;;;;;;;;;;;;;;;
274;;0;7145;KTB;16262;;;;;;;;;;;;;;;;
275;;0;7145;KTN;16262;;;;;;;;;;;;;;;;
276;;0;7147;HYL;16262;;;;;;;;;;;;;;;;
277;;0;7147;KTN;16262;;;;;;;;;;;;;;;;
278;;0;3808;CGA;16262;;;;;;;;;;;;;;;;
279;;0;3808;HYL;16262;;;;;;;;;;;;;;;;
280;;0;3808;KTB;16262;;;;;;;;;;;;;;;;
281;;0;3808;MTM;16262;;;;;;;;;;;;;;;;
282;;0;7146;KTN;16262;;;;;;;;;;;;;;;;
283;;0;248;DKR;595;;;;;;;;;;;;;;;;
284;;0;248;LOS;595;;;;;;;;;;;;;;;;
285;;0;248;ROB;595;;;;;;;;;;;;;;;;
286;;0;1218;BJL;595;;;;;;;;;;;;;;;;
287;;0;1050;BCN;595;;;;;;;;;;;;;;;;
288;;0;1050;DKR;595;;;;;;;;;;;;;;;;
289;;0;1050;FNA;595;;;;;;;;;;;;;;;;
290;;0;4162;OXB;595;;;;;;;;;;;;;;;;
291;;0;1084;ACC;595;;;;;;;;;;;;;;;;
292;;0;1084;BJL;595;;;;;;;;;;;;;;;;
293;;0;1084;DLA;595;;;;;;;;;;;;;;;;
294;;0;1084;FNA;595;;;;;;;;;;;;;;;;
295;;0;1084;LOS;595;;;;;;;;;;;;;;;;
296;;0;1084;OXB;595;;;;;;;;;;;;;;;;
297;;0;897;DKR;595;;;;;;;;;;;;;;;;
298;;0;897;LOS;595;;;;;;;;;;;;;;;;
299;;0;1059;BJL;595;;;;;;;;;;;;;;;;
300;;0;1059;DKR;595;;;;;;;;;;;;;;;;
301;;0;1059;LGW;595;;;;;;;;;;;;;;;;
302;;0;1059;ROB;595;;;;;;;;;;;;;;;;
303;;0;502;FNA;595;;;;;;;;;;;;;;;;
304;;0;273;ACC;595;;;;;;;;;;;;;;;;
305;;0;273;DKR;595;;;;;;;;;;;;;;;;
306;;0;273;DLA;595;;;;;;;;;;;;;;;;
307;;0;273;ROB;595;;;;;;;;;;;;;;;;
308;;0;5665;CKY;595;;;;;;;;;;;;;;;;
309;;0;5665;DKR;595;;;;;;;;;;;;;;;;
310;;0;1063;ACC;595;;;;;;;;;;;;;;;;
311;;0;1063;FNA;595;;;;;;;;;;;;;;;;
312;;0;1063;LOS;595;;;;;;;;;;;;;;;;
313;;0;5506;YIK;\N;;;;;;;;;;;;;;;;
314;;0;5506;YPX;\N;;;;;;;;;;;;;;;;
315;;0;5512;YVP;\N;;;;;;;;;;;;;;;;
316;;0;62;YGW;\N;;;;;;;;;;;;;;;;
317;;0;62;YPX;\N;;;;;;;;;;;;;;;;
318;;0;62;YUL;\N;;;;;;;;;;;;;;;;
319;;0;5496;YGL;\N;;;;;;;;;;;;;;;;
320;;0;5496;YPH;\N;;;;;;;;;;;;;;;;
321;;0;5496;YSK;\N;;;;;;;;;;;;;;;;
322;;0;5496;YUD;\N;;;;;;;;;;;;;;;;
323;;0;5496;YUL;\N;;;;;;;;;;;;;;;;
324;;0;5496;YUY;\N;;;;;;;;;;;;;;;;
325;;0;5504;AKV;\N;;;;;;;;;;;;;;;;
326;;0;5504;YZG;\N;;;;;;;;;;;;;;;;
327;;0;5481;YPJ;\N;;;;;;;;;;;;;;;;
328;;0;5481;YQC;\N;;;;;;;;;;;;;;;;
329;;0;5481;YVP;\N;;;;;;;;;;;;;;;;
330;;0;80;YQB;\N;;;;;;;;;;;;;;;;
331;;0;80;YVP;\N;;;;;;;;;;;;;;;;
332;;0;80;YWK;\N;;;;;;;;;;;;;;;;
333;;0;80;YZV;\N;;;;;;;;;;;;;;;;
334;;0;5520;YPX;\N;;;;;;;;;;;;;;;;
335;;0;5520;YUD;\N;;;;;;;;;;;;;;;;
336;;0;5520;YVP;\N;;;;;;;;;;;;;;;;
337;;0;5508;YKG;\N;;;;;;;;;;;;;;;;
338;;0;5508;YTQ;\N;;;;;;;;;;;;;;;;
339;;0;5508;YVP;\N;;;;;;;;;;;;;;;;
340;;0;6727;AKV;\N;;;;;;;;;;;;;;;;
341;;0;6727;YGL;\N;;;;;;;;;;;;;;;;
342;;0;6727;YPH;\N;;;;;;;;;;;;;;;;
343;;0;6727;YVP;\N;;;;;;;;;;;;;;;;
344;;0;111;YKL;\N;;;;;;;;;;;;;;;;
345;;0;111;YUL;\N;;;;;;;;;;;;;;;;
346;;0;5499;YKG;\N;;;;;;;;;;;;;;;;
347;;0;5499;YWB;\N;;;;;;;;;;;;;;;;
348;;0;5529;YGW;\N;;;;;;;;;;;;;;;;
349;;0;5529;YUD;\N;;;;;;;;;;;;;;;;
350;;0;6728;YPJ;\N;;;;;;;;;;;;;;;;
351;;0;6728;YVP;\N;;;;;;;;;;;;;;;;
352;;0;5515;YGW;\N;;;;;;;;;;;;;;;;
353;;0;5515;YPH;\N;;;;;;;;;;;;;;;;
354;;0;5515;YSK;\N;;;;;;;;;;;;;;;;
355;;0;146;YGL;\N;;;;;;;;;;;;;;;;
356;;0;146;YGW;\N;;;;;;;;;;;;;;;;
357;;0;146;YQB;\N;;;;;;;;;;;;;;;;
358;;0;146;YUY;\N;;;;;;;;;;;;;;;;
359;;0;149;YGW;\N;;;;;;;;;;;;;;;;
360;;0;149;YUL;\N;;;;;;;;;;;;;;;;
361;;0;154;XGR;\N;;;;;;;;;;;;;;;;
362;;0;154;YGW;\N;;;;;;;;;;;;;;;;
363;;0;154;YKG;\N;;;;;;;;;;;;;;;;
364;;0;154;YKL;\N;;;;;;;;;;;;;;;;
365;;0;154;YPH;\N;;;;;;;;;;;;;;;;
366;;0;154;YPJ;\N;;;;;;;;;;;;;;;;
367;;0;154;YPX;\N;;;;;;;;;;;;;;;;
368;;0;154;YTQ;\N;;;;;;;;;;;;;;;;
369;;0;7253;YQC;\N;;;;;;;;;;;;;;;;
370;;0;7253;YZG;\N;;;;;;;;;;;;;;;;
371;;0;161;YKL;\N;;;;;;;;;;;;;;;;
372;;0;161;YZV;\N;;;;;;;;;;;;;;;;
373;;0;5535;YIK;\N;;;;;;;;;;;;;;;;
374;;0;5535;YWB;\N;;;;;;;;;;;;;;;;
375;;0;202;YKL;\N;;;;;;;;;;;;;;;;
376;;0;202;YWK;\N;;;;;;;;;;;;;;;;
377;;0;4119;DXB;5521;;;;;;;;;;;;;;;;
378;;0;4119;JED;5521;;;;;;;;;;;;;;;;
379;;0;4119;MGQ;5521;;;;;;;;;;;;;;;;
380;;0;5687;NBO;5521;;;;;;;;;;;;;;;;
381;;0;4059;MGQ;5521;;;;;;;;;;;;;;;;
382;;0;3885;SIN;3021;;;;;;;;;;;;;;;;
383;;0;3999;SIN;3021;;;;;;;;;;;;;;;;
384;;0;4120;SIN;3021;;;;;;;;;;;;;;;;
385;;0;3386;SIN;3021;;;;;;;;;;;;;;;;
386;;0;3077;SIN;3021;;;;;;;;;;;;;;;;
387;;0;3179;SIN;3021;;;;;;;;;;;;;;;;
388;;0;3992;MNL;3021;;;;;;;;;;;;;;;;
389;;0;3992;TPE;3021;;;;;;;;;;;;;;;;
390;;0;3304;SIN;3021;;;;;;;;;;;;;;;;
391;;0;2397;KIX;3021;;;;;;;;;;;;;;;;
392;;0;2397;SIN;3021;;;;;;;;;;;;;;;;
393;;0;3308;SIN;3021;;;;;;;;;;;;;;;;
394;;0;3351;SIN;3021;;;;;;;;;;;;;;;;
395;;0;3034;SIN;3021;;;;;;;;;;;;;;;;
396;;0;3035;SIN;3021;;;;;;;;;;;;;;;;
397;;0;3239;SIN;3021;;;;;;;;;;;;;;;;
398;;0;3205;SIN;3021;;;;;;;;;;;;;;;;
399;;0;3316;BKK;3021;;;;;;;;;;;;;;;;
400;;0;3316;DRW;3021;;;;;;;;;;;;;;;;
401;;0;3316;HAK;3021;;;;;;;;;;;;;;;;
402;;0;3316;HGH;3021;;;;;;;;;;;;;;;;
403;;0;3316;HKG;3021;;;;;;;;;;;;;;;;
404;;0;3316;HKT;3021;;;;;;;;;;;;;;;;
405;;0;3316;KUL;3021;;;;;;;;;;;;;;;;
406;;0;3316;MNL;3021;;;;;;;;;;;;;;;;
407;;0;3316;PEN;3021;;;;;;;;;;;;;;;;
408;;0;3316;PER;3021;;;;;;;;;;;;;;;;
409;;0;3316;PNH;3021;;;;;;;;;;;;;;;;
410;;0;3316;REP;3021;;;;;;;;;;;;;;;;
411;;0;3316;RGN;3021;;;;;;;;;;;;;;;;
412;;0;3316;SGN;3021;;;;;;;;;;;;;;;;
413;;0;3316;SWA;3021;;;;;;;;;;;;;;;;
414;;0;3316;TPE;3021;;;;;;;;;;;;;;;;
415;;0;4302;SIN;3021;;;;;;;;;;;;;;;;
416;;0;2276;KIX;3021;;;;;;;;;;;;;;;;
417;;0;2276;SIN;3021;;;;;;;;;;;;;;;;
418;;0;1679;EBA;2916;;;;;;;;;;;;;;;;
419;;0;338;ZRH;2916;;;;;;;;;;;;;;;;
420;;0;345;FDH;2916;;;;;;;;;;;;;;;;
421;;0;1558;ACH;2916;;;;;;;;;;;;;;;;
422;;0;1558;FDH;2916;;;;;;;;;;;;;;;;
423;;0;1558;MUC;2916;;;;;;;;;;;;;;;;
424;;0;1558;ZRH;2916;;;;;;;;;;;;;;;;
425;;0;382;DUS;2916;;;;;;;;;;;;;;;;
426;;0;382;EBA;2916;;;;;;;;;;;;;;;;
427;;0;382;HAM;2916;;;;;;;;;;;;;;;;
428;;0;382;OLB;2916;;;;;;;;;;;;;;;;
429;;0;382;TXL;2916;;;;;;;;;;;;;;;;
430;;0;382;ZAD;2916;;;;;;;;;;;;;;;;
431;;0;3986;NAP;2916;;;;;;;;;;;;;;;;
432;;0;1609;ZRH;2916;;;;;;;;;;;;;;;;
433;;0;342;FDH;2916;;;;;;;;;;;;;;;;
434;;0;346;EBA;2916;;;;;;;;;;;;;;;;
435;;0;1561;FMM;2916;;;;;;;;;;;;;;;;
436;;0;1520;FDH;2916;;;;;;;;;;;;;;;;
437;;0;1612;ZRH;2916;;;;;;;;;;;;;;;;
438;;0;351;FDH;2916;;;;;;;;;;;;;;;;
439;;0;1209;FDH;2916;;;;;;;;;;;;;;;;
440;;0;1678;DRS;2916;;;;;;;;;;;;;;;;
441;;0;1678;EBA;2916;;;;;;;;;;;;;;;;
442;;0;1678;GRZ;2916;;;;;;;;;;;;;;;;
443;;0;1678;SZG;2916;;;;;;;;;;;;;;;;
444;;0;3682;LWB;20710;;;;;;;;;;;;;;;;
445;;0;3682;MCN;20710;;;;;;;;;;;;;;;;
446;;0;3682;MEI;20710;;;;;;;;;;;;;;;;
447;;0;3682;MSL;20710;;;;;;;;;;;;;;;;
448;;0;3682;PIB;20710;;;;;;;;;;;;;;;;
449;;0;3682;TUP;20710;;;;;;;;;;;;;;;;
450;;0;1937;FLL;20710;;;;;;;;;;;;;;;;
451;;0;1943;FLL;20710;;;;;;;;;;;;;;;;
452;;0;1943;PBI;20710;;;;;;;;;;;;;;;;
453;;0;3875;FLL;20710;;;;;;;;;;;;;;;;
454;;0;3875;RSW;20710;;;;;;;;;;;;;;;;
455;;0;3875;TPA;20710;;;;;;;;;;;;;;;;
