ID;Name;IATA;ICAO;Latitude;Longitude;iso_code
112;Red Deer Regional Airport;YQF;CYQF;52.18220138549805;-113.89399719238281;CA
113;Windsor Airport;YQG;CYQG;42.27560043334961;-82.95559692382812;CA
114;Watson Lake Airport;YQH;CYQH;60.11640167236328;-128.82200622558594;CA
115;Kenora Airport;YQK;CYQK;49.788299560546875;-94.36309814453125;CA
116;Lethbridge County Airport;YQL;CYQL;49.6302986145;-112.800003052;CA
117;Greater Moncton International Airport;YQM;CYQM;46.11220169067383;-64.67859649658203;CA
119;Comox Airport;YQQ;CYQQ;49.71080017089844;-124.88700103759766;CA
120;Regina International Airport;YQR;CYQR;50.43190002441406;-104.66600036621094;CA
121;Thunder Bay Airport;YQT;CYQT;48.37189865112305;-89.32389831542969;CA
122;Grande Prairie Airport;YQU;CYQU;55.1796989441;-118.885002136;CA
123;Yorkton Municipal Airport;YQV;CYQV;51.26470184326172;-102.46199798583984;CA
124;North Battleford Airport;YQW;CYQW;52.76919937133789;-108.24400329589844;CA
125;Gander International Airport;YQX;CYQX;48.9369010925293;-54.56809997558594;CA
126;Sydney / J.A. Douglas McCurdy Airport;YQY;CYQY;46.1614;-60.047798;CA
127;Quesnel Airport;YQZ;CYQZ;53.026100158691406;-122.51000213623047;CA
128;Resolute Bay Airport;YRB;CYRB;74.7169036865;-94.9693984985;CA
129;Rivière-du-Loup Airport;YRI;CYRI;47.764400482177734;-69.58470153808594;CA
130;Roberval Airport;YRJ;CYRJ;48.52000045776367;-72.2656021118164;CA
131;Rocky Mountain House Airport;YRM;CYRM;52.4296989441;-114.903999329;CA
132;Rankin Inlet Airport;YRT;CYRT;62.8114013672;-92.1157989502;CA
133;Sudbury Airport;YSB;CYSB;46.625;-80.79889678955078;CA
134;Sherbrooke Airport;YSC;CYSC;45.4385986328125;-71.69139862060547;CA
135;Saint John Airport;YSJ;CYSJ;45.31610107421875;-65.89029693603516;CA
136;Fort Smith Airport;YSM;CYSM;60.020301818847656;-111.96199798583984;CA
137;Nanisivik Airport;YSR;CYSR;72.982201;-84.613602;CA
138;Summerside Airport;YSU;CYSU;46.44060134887695;-63.83359909057617;CA
139;Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport;YSY;CYSY;71.9938964844;-125.242996216;CA
140;Cape Dorset Airport;YTE;CYTE;64.2300033569;-76.5267028809;CA
141;Thompson Airport;YTH;CYTH;55.80110168457031;-97.86419677734375;CA
142;CFB Trenton;YTR;CYTR;44.118900299072266;-77.5280990600586;CA
143;Timmins/Victor M. Power;YTS;CYTS;48.569698333699996;-81.376701355;CA
144;Billy Bishop Toronto City Centre Airport;YTZ;CYTZ;43.627499;-79.396202;CA
145;Tuktoyaktuk Airport;YUB;CYUB;69.43329620361328;-133.0260009765625;CA
146;Montreal / Pierre Elliott Trudeau International Airport;YUL;CYUL;45.4706001282;-73.7407989502;CA
147;Repulse Bay Airport;YUT;CYUT;66.5214004517;-86.22470092770001;CA
148;Hall Beach Airport;YUX;CYUX;68.77610015869999;-81.2425;CA
149;Rouyn Noranda Airport;YUY;CYUY;48.20610046386719;-78.83560180664062;CA
150;La Ronge Airport;YVC;CYVC;55.151401519800004;-105.262001038;CA
151;Vermilion Airport;YVG;CYVG;53.355800628699996;-110.823997498;CA
152;Qikiqtarjuaq Airport;YVM;CYVM;67.5457992554;-64.03140258789999;CA
153;Val-d'Or Airport;YVO;CYVO;48.0532989502;-77.7827987671;CA
154;Kuujjuaq Airport;YVP;CYVP;58.096099853515625;-68.4269027709961;CA
155;Norman Wells Airport;YVQ;CYVQ;65.28160095214844;-126.7979965209961;CA
156;Vancouver International Airport;YVR;CYVR;49.193901062;-123.183998108;CA
157;Buffalo Narrows Airport;YVT;CYVT;55.8418998718;-108.417999268;CA
158;Wiarton Airport;YVV;CYVV;44.7458;-81.107201;CA
159;Petawawa Airport;YWA;CYWA;45.95220184326172;-77.31919860839844;CA
160;Winnipeg / James Armstrong Richardson International Airport;YWG;CYWG;49.909999847399995;-97.2398986816;CA
161;Wabush Airport;YWK;CYWK;52.92190170288086;-66.8644027709961;CA
162;Williams Lake Airport;YWL;CYWL;52.1831016541;-122.054000854;CA
163;Wrigley Airport;YWY;CYWY;63.20940017700195;-123.43699645996094;CA
164;Cranbrook/Canadian Rockies International Airport;YXC;CYXC;49.610801696777;-115.78199768066;CA
165;Edmonton City Centre (Blatchford Field) Airport;YXD;CYXD;53.5724983215;-113.521003723;CA
166;Saskatoon John G. Diefenbaker International Airport;YXE;CYXE;52.170799255371094;-106.69999694824219;CA
167;Medicine Hat Airport;YXH;CYXH;50.01890182495117;-110.72100067138672;CA
168;Fort St John Airport;YXJ;CYXJ;56.23809814453125;-120.73999786376953;CA
169;Sioux Lookout Airport;YXL;CYXL;50.11389923095703;-91.9052963256836;CA
170;Pangnirtung Airport;YXP;CYXP;66.1449966431;-65.71360015869999;CA
171;Earlton (Timiskaming Regional) Airport;YXR;CYXR;47.697400654599996;-79.8473453522;CA
172;Prince George Airport;YXS;CYXS;53.8894004822;-122.679000854;CA
173;Northwest Regional Airport Terrace-Kitimat;YXT;CYXT;54.468498;-128.576009;CA
174;London Airport;YXU;CYXU;43.035599;-81.1539;CA
175;Abbotsford Airport;YXX;CYXX;49.025299072265625;-122.36100006103516;CA
176;Whitehorse / Erik Nielsen International Airport;YXY;CYXY;60.7095985413;-135.067001343;CA
177;North Bay Jack Garland Airport;YYB;CYYB;46.363602;-79.422798;CA
178;Calgary International Airport;YYC;CYYC;51.113899231;-114.019996643;CA
179;Smithers Airport;YYD;CYYD;54.82469940185547;-127.18299865722656;CA
180;Fort Nelson Airport;YYE;CYYE;58.8363990784;-122.597000122;CA
181;Penticton Airport;YYF;CYYF;49.46310043334961;-119.60199737548828;CA
182;Charlottetown Airport;YYG;CYYG;46.290000915527344;-63.12110137939453;CA
183;Taloyoak Airport;YYH;CYYH;69.5466995239;-93.5766983032;CA
184;Victoria International Airport;YYJ;CYYJ;48.646900177;-123.426002502;CA
185;Lynn Lake Airport;YYL;CYYL;56.86389923095703;-101.07599639892578;CA
186;Swift Current Airport;YYN;CYYN;50.291900634799994;-107.691001892;CA
187;Churchill Airport;YYQ;CYYQ;58.739200592041016;-94.06500244140625;CA
188;Goose Bay Airport;YYR;CYYR;53.3191986084;-60.4258003235;CA
189;St. John's International Airport;YYT;CYYT;47.618598938;-52.7518997192;CA
190;Kapuskasing Airport;YYU;CYYU;49.41389846801758;-82.46749877929688;CA
191;Armstrong Airport;YYW;CYYW;50.29029846191406;-88.90969848632812;CA
192;Mont Joli Airport;YYY;CYYY;48.60860061645508;-68.20809936523438;CA
193;Lester B. Pearson International Airport;YYZ;CYYZ;43.6772003174;-79.63059997559999;CA
194;Downsview Airport;YZD;CYZD;43.74250030517578;-79.4655990600586;CA
195;Gore Bay Manitoulin Airport;YZE;CYZE;45.88529968261719;-82.56780242919922;CA
196;Yellowknife Airport;YZF;CYZF;62.462799072265625;-114.44000244140625;CA
197;Slave Lake Airport;YZH;CYZH;55.2930984497;-114.777000427;CA
198;Sandspit Airport;YZP;CYZP;53.25429916379999;-131.813995361;CA
199;Chris Hadfield Airport;YZR;CYZR;42.9994010925293;-82.30889892578125;CA
200;Port Hardy Airport;YZT;CYZT;50.680599212646484;-127.36699676513672;CA
201;Whitecourt Airport;YZU;CYZU;54.14390182495117;-115.78700256347656;CA
202;Sept-Îles Airport;YZV;CYZV;50.22330093383789;-66.2656021118164;CA
203;Teslin Airport;YZW;CYZW;60.17279815673828;-132.7429962158203;CA
204;CFB Greenwood;YZX;CYZX;44.98440170288086;-64.91690063476562;CA
205;Faro Airport;ZFA;CZFA;62.20750045776367;-133.37600708007812;CA
206;Fort Mcpherson Airport;ZFM;CZFM;67.40750122070312;-134.86099243164062;CA
207;Blida Airport;QLD;DAAB;36.50360107421875;2.8141698837280273;DZ
208;Bou Saada Airport;BUJ;DAAD;35.33250045776367;4.206389904022217;DZ
209;Soummam Airport;BJA;DAAE;36.7120018005;5.0699200630200005;DZ
210;Houari Boumediene Airport;ALG;DAAG;36.691001892089844;3.215409994125366;DZ
211;Djanet Inedbirene Airport;DJG;DAAJ;24.292801;9.45244;DZ
212;Boufarik Airport;\N;DAAK;36.545799;2.87611;DZ
213;Reggane Airport;\N;DAAN;26.7101;0.285647;DZ
214;Illizi Takhamalt Airport;VVZ;DAAP;26.7234992981;8.62265014648;DZ
215;Ain Oussera Airport;\N;DAAQ;35.52539825439453;2.8787100315093994;DZ
216;Aguenar – Hadj Bey Akhamok Airport;TMR;DAAT;22.8115005493;5.45107984543;DZ
217;Jijel Ferhat Abbas Airport;GJL;DAAV;36.7951011658;5.87361001968;DZ
218;Mecheria Airport;MZW;DAAY;33.535900116;-0.242353007197;DZ
219;Relizane Airport;\N;DAAZ;35.752201;0.626272;DZ
220;Rabah Bitat Airport;AAE;DABB;36.822201;7.809174;DZ
221;Mohamed Boudiaf International Airport;CZL;DABC;36.2760009765625;6.620389938354492;DZ
222;Cheikh Larbi Tébessi Airport;TEE;DABS;35.4315986633;8.12071990967;DZ
224;Hassi R'Mel Airport;HRM;DAFH;32.93040084838867;3.311539888381958;DZ
225;Bou Chekif Airport;TID;DAOB;35.3410987854;1.46315002441;DZ
226;Bou Sfer Airport;\N;DAOE;35.73540115356445;-0.8053889870643616;DZ
227;Tindouf Airport;TIN;DAOF;27.7003993988;-8.167099952700001;DZ
228;Ech Cheliff Airport;CFK;DAOI;36.2126998901;1.33176994324;DZ
229;Tafaraoui Airport;TAF;DAOL;35.54240036010742;-0.5322780013084412;DZ
230;Zenata – Messali El Hadj Airport;TLM;DAON;35.0167007446;-1.45000004768;DZ
231;Es Senia Airport;ORN;DAOO;35.6239013672;-0.6211829781529999;DZ
232;Sidi Bel Abbes Airport;BFW;DAOS;35.1717987061;-0.593275010586;DZ
233;Ghriss Airport;MUW;DAOV;35.207698822021484;0.14714199304580688;DZ
234;Touat Cheikh Sidi Mohamed Belkebir Airport;AZR;DAUA;27.837600708007812;-0.18641400337219238;DZ
235;Biskra Airport;BSK;DAUB;34.793300628699996;5.73823022842;DZ
236;El Golea Airport;ELG;DAUE;30.571300506591797;2.8595900535583496;DZ
237;Noumérat - Moufdi Zakaria Airport;GHA;DAUG;32.38410186767578;3.794110059738159;DZ
238;Oued Irara Airport;HME;DAUH;31.673000335699996;6.140439987180001;DZ
239;In Salah Airport;INZ;DAUI;27.250999450699997;2.51202011108;DZ
240;Touggourt Sidi Madhi Airport;TGR;DAUK;33.06779861450195;6.088669776916504;DZ
241;Laghouat Airport;LOO;DAUL;33.764400482199996;2.92833995819;DZ
242;Timimoun Airport;TMX;DAUT;29.2371006012;0.276033014059;DZ
243;Ain el Beida Airport;OGX;DAUU;31.917200088500977;5.412779808044434;DZ
244;In Aménas Airport;IAM;DAUZ;28.0515;9.64291;DZ
245;Cadjehoun Airport;COO;DBBB;6.357230186462402;2.384350061416626;BJ
246;Ouagadougou Airport;OUA;DFFD;12.3532;-1.51242;BF
247;Bobo Dioulasso Airport;BOY;DFOO;11.160099983215332;-4.33096981048584;BF
248;Kotoka International Airport;ACC;DGAA;5.605189800262451;-0.16678600013256073;GH
249;Tamale Airport;TML;DGLE;9.55718994140625;-0.8632140159606934;GH
250;Wa Airport;\N;DGLW;10.0826997756958;-2.507689952850342;GH
251;Sunyani Airport;NYI;DGSN;7.361830234527588;-2.3287599086761475;GH
252;Takoradi Airport;TKD;DGTK;4.896059989929199;-1.7747600078582764;GH
253;Port Bouet Airport;ABJ;DIAP;5.261390209197998;-3.9262900352478027;CI
254;Bouaké Airport;BYK;DIBK;7.738800048828125;-5.073669910430908;CI
255;Daloa Airport;DJO;DIDL;6.792809963226318;-6.473189830780029;CI
256;Korhogo Airport;HGO;DIKO;9.38718032837;-5.55666017532;CI
257;Man Airport;MJC;DIMN;7.272069931030273;-7.58735990524292;CI
258;San Pedro Airport;SPY;DISP;4.746719837188721;-6.660820007324219;CI
259;Yamoussoukro Airport;ASK;DIYO;6.9031701088;-5.36558008194;CI
260;Nnamdi Azikiwe International Airport;ABV;DNAA;9.006790161132812;7.263169765472412;NG
261;Akure Airport;AKR;DNAK;7.246739864349365;5.3010101318359375;NG
262;Benin Airport;BNI;DNBE;6.316979885101318;5.5995001792907715;NG
263;Margaret Ekpo International Airport;CBQ;DNCA;4.976019859313965;8.347200393676758;NG
264;Akanu Ibiam International Airport;ENU;DNEN;6.474269866943359;7.561960220336914;NG
265;Gusau Airport;\N;DNGU;12.1717;6.69611;NG
266;Ibadan Airport;IBA;DNIB;7.362460136413574;3.97832989692688;NG
267;Ilorin International Airport;ILR;DNIL;8.440210342407227;4.493919849395752;NG
268;Yakubu Gowon Airport;JOS;DNJO;9.639829635620117;8.869050025939941;NG
269;Kaduna Airport;KAD;DNKA;10.696000099182129;7.320109844207764;NG
270;Mallam Aminu International Airport;KAN;DNKN;12.0476;8.52462;NG
271;Maiduguri International Airport;MIU;DNMA;11.855299949645996;13.080900192260742;NG
272;Makurdi Airport;MDI;DNMK;7.70388;8.61394;NG
273;Murtala Muhammed International Airport;LOS;DNMM;6.5773701667785645;3.321160078048706;NG
274;Minna Airport;MXJ;DNMN;9.652170181274414;6.462259769439697;NG
275;Port Harcourt International Airport;PHC;DNPO;5.0154900550842285;6.94959020614624;NG
276;Sadiq Abubakar III International Airport;SKO;DNSO;12.916299819946289;5.207190036773682;NG
277;Yola Airport;YOL;DNYO;9.257550239562988;12.430399894714355;NG
278;Zaria Airport;ZAR;DNZA;11.1302;7.68581;NG
279;Maradi Airport;MFQ;DRRM;13.5024995803833;7.1267499923706055;NE
280;Diori Hamani International Airport;NIM;DRRN;13.4815;2.18361;NE
281;Tahoua Airport;THZ;DRRT;14.875699996948242;5.265359878540039;NE
282;Mano Dayak International Airport;AJY;DRZA;16.965999603271484;8.000109672546387;NE
283;Dirkou Airport;\N;DRZD;18.968700408935547;12.86870002746582;NE
284;Diffa Airport;\N;DRZF;13.372900009155273;12.626700401306152;NE
285;Zinder Airport;ZND;DRZR;13.779000282287598;8.983759880065918;NE
286;Monastir Habib Bourguiba International Airport;MIR;DTMB;35.75809860229492;10.75469970703125;TN
287;Tunis Carthage International Airport;TUN;DTTA;36.85100173950195;10.22719955444336;TN
288;Sidi Ahmed Air Base;\N;DTTB;37.245398;9.79145;TN
289;Remada Air Base;\N;DTTD;32.30619812011719;10.382100105285645;TN
290;Gafsa Ksar International Airport;GAF;DTTF;34.422000885009766;8.822500228881836;TN
291;Gabès Matmata International Airport;GAE;DTTG;33.87689971923828;10.103300094604492;TN
292;Borj El Amri Airport;\N;DTTI;36.72129821777344;9.94314956665039;TN
293;Djerba Zarzis International Airport;DJE;DTTJ;33.875;10.775500297546387;TN
294;El Borma Airport;EBM;DTTR;31.704299926757812;9.254619598388672;TN
295;Sfax Thyna International Airport;SFA;DTTX;34.71799850463867;10.690999984741211;TN
296;Tozeur Nefta International Airport;TOE;DTTZ;33.939701080322266;8.110560417175293;TN
297;Niamtougou International Airport;LRL;DXNG;9.767330169677734;1.091249942779541;TG
298;Lomé-Tokoin Airport;LFW;DXXX;6.165609836578369;1.2545100450515747;TG
299;Antwerp International Airport (Deurne);ANR;EBAW;51.1893997192;4.46027994156;BE
300;Beauvechain Air Base;\N;EBBE;50.75859832763672;4.768330097198486;BE
301;Kleine Brogel Air Base;\N;EBBL;51.168301;5.47;BE
302;Brussels Airport;BRU;EBBR;50.901401519800004;4.48443984985;BE
303;Jehonville Air Base;\N;EBBX;49.891700744628906;5.2238898277282715;BE
304;Brussels South Charleroi Airport;CRL;EBCI;50.459202;4.45382;BE
305;Chièvres Air Base;\N;EBCV;50.575801849365234;3.8310000896453857;BE
306;Koksijde Air Base;\N;EBFN;51.090301513671875;2.652780055999756;BE
307;Florennes Air Base;\N;EBFS;50.2433013916;4.64583015442;BE
308;Wevelgem Airport;KJK;EBKT;50.817199707;3.20472002029;BE
309;Liège Airport;LGG;EBLG;50.63740158081055;5.443220138549805;BE
310;Ostend-Bruges International Airport;OST;EBOS;51.198898315399994;2.8622200489;BE
311;Zutendaal Air Base;\N;EBSL;50.9474983215332;5.590559959411621;BE
312;Brustem Airfield Sint Truiden;\N;EBST;50.791901;5.20167;BE
313;Saint Hubert Air Base;\N;EBSU;50.034400939941406;5.440810203552246;BE
314;Ursel Air Base;\N;EBUL;51.14419937133789;3.475559949874878;BE
315;Weelde Air Base;\N;EBWE;51.394798278808594;4.9601898193359375;BE
316;Zoersel (Oostmalle) Airfield;OBL;EBZR;51.264702;4.75333;BE
317;Flugplatz Bautzen;\N;EDAB;51.193611;14.519722;DE
318;Altenburg-Nobitz Airport;AOC;EDAC;50.981945;12.506389;DE
319;Dessau Airfield;\N;EDAD;51.831694;12.190962;DE
320;Eisenhüttenstadt Airfield;\N;EDAE;52.195856;14.58753;DE
322;Großenhain Airport;\N;EDAK;51.30805587768555;13.555556297302246;DE
323;Merseburg Airport;\N;EDAM;51.3630556;11.9408333;DE
324;Halle-Oppin Airport;\N;EDAQ;51.552223;12.053889;DE
325;Riesa-Göhlis Airport;IES;EDAU;51.2936096191;13.3561105728;DE
326;Rechlin-Lärz Airport;REB;EDAX;53.306388855;12.7522220612;DE
327;Strausberg Airport;\N;EDAY;52.5805549621582;13.916666984558105;DE
328;Schönhagen Airport;QXH;EDAZ;52.203609;13.156389;DE
329;Barth Airport;BBH;EDBH;54.338253;12.710515;DE
330;Jena-Schöngleina Airfield;\N;EDBJ;50.915279;11.714444;DE
331;Kyritz Airport;\N;EDBK;52.918888092041016;12.425277709960938;DE
332;"Magdeburg ""City"" Airport";ZMG;EDBM;52.073612;11.626389;DE
333;Rothenburg/Görlitz Airport;\N;EDBR;51.36333465576172;14.949999809265137;DE
334;Anklam Airfield;\N;EDCA;53.832779;13.668611;DE
335;Cottbus-Drewitz Airport;CBU;EDCD;51.889442;14.531944;DE
336;Kamenz Airport;\N;EDCM;51.29694366455078;14.1274995803833;DE
337;Berlin-Schönefeld Airport;SXF;EDDB;52.380001;13.5225;DE
338;Dresden Airport;DRS;EDDC;51.1328010559082;13.767200469970703;DE
339;Erfurt Airport;ERF;EDDE;50.979801177978516;10.958100318908691;DE
340;Frankfurt am Main Airport;FRA;EDDF;50.033333;8.570556;DE
341;Münster Osnabrück Airport;FMO;EDDG;52.134601593;7.68483018875;DE
342;Hamburg Airport;HAM;EDDH;53.630401611328;9.9882297515869;DE
343;Berlin-Tempelhof International Airport;THF;EDDI;52.472999572753906;13.403900146484375;DE
344;Cologne Bonn Airport;CGN;EDDK;50.8658981323;7.1427397728;DE
