IATA;Name;ICAO
H25;British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900;H25B
J31;British Aerospace Jetstream 31;JS31
J32;British Aerospace Jetstream 32;JS32
J41;British Aerospace Jetstream 41;JS41
CCJ;Canadair Challenger;CL60
CL4;Canadair CL-44;CL44
CR1;Canadair Regional Jet 100;CRJ1
CRK;Canadair Regional Jet 1000;CRJX
CR2;Canadair Regional Jet 200;CRJ2
CR7;Canadair Regional Jet 700;CRJ7
CR9;Canadair Regional Jet 900;CRJ9
CN1;Cessna 172;C172
CNJ;Cessna Citation CJ3;C25B
SSC;Concorde;CONC
D20;Dassault Falcon 2000;F2TH
DF3;Dassault Falcon 50;FA50
DF7;Dassault Falcon 7X;FA7X
DF9;Dassault Falcon 900;F900
DHP;De Havilland Canada DHC-2 Beaver;DHC2
DHR;De Havilland Canada DHC-2 Turbo-Beaver;DH2T
DHL;De Havilland Canada DHC-3 Otter;DHC3
DHC;De Havilland Canada DHC-4 Caribou;DHC4
DHT;De Havilland Canada DHC-6 Twin Otter;DHC6
DH7;De Havilland Canada DHC-7 Dash 7;DHC7
DH1;De Havilland Canada DHC-8-100 Dash 8 / 8Q;DH8A
DH2;De Havilland Canada DHC-8-200 Dash 8 / 8Q;DH8B
DH3;De Havilland Canada DHC-8-300 Dash 8;DH8C
DH4;De Havilland Canada DHC-8-400 Dash 8Q;DH8D
DHD;De Havilland DH.104 Dove;DOVE
DHH;De Havilland DH.114 Heron;HERN
D10;Douglas DC-10;DC10
D8T;Douglas DC-8-50;DC85
D8L;Douglas DC-8-62;DC86
D8Q;Douglas DC-8-72;DC87
D91;Douglas DC-9-10;DC91
D92;Douglas DC-9-20;DC92
D93;Douglas DC-9-30;DC93
D94;Douglas DC-9-40;DC94
D95;Douglas DC-9-50;DC95
E70;Embraer 170;E170
E7W;Embraer 175 (long wing);E75L
E90;Embraer 190;E190
E95;Embraer 195;E195
290;Embraer E190-E2;E290
295;Embraer E195-E2;E295
EMB;Embraer EMB 110 Bandeirante;E110
EM2;Embraer EMB 120 Brasilia;E120
EP1;Embraer Phenom 100;E50P
EP3;Embraer Phenom 300;E55P
ER3;Embraer RJ135;E135
ERD;Embraer RJ140;E135
ER4;Embraer RJ145;E145
FRJ;Fairchild Dornier 328JET;J328
D28;Fairchild Dornier Do.228;D228
D38;Fairchild Dornier Do.328;D328
100;Fokker 100;F100
GRS;Gulfstream Aerospace G-159 Gulfstream I;G159
GR3;Gulfstream G280;G280
GJ6;Gulfstream G650;GLF6
GJ4;Gulfstream IV;GLF4
GJ5;Gulfstream V;GLF5
ACP;Gulfstream/Rockwell (Aero) Commander;AC68
ACT;Gulfstream/Rockwell (Aero) Turbo Commander;AC90
HS7;Hawker Siddeley HS 748;A748
I14;Ilyushin IL114;I114
IL8;Ilyushin IL18;IL18
IL6;Ilyushin IL62;IL62
IL7;Ilyushin IL76;IL76
ILW;Ilyushin IL86;IL86
I93;Ilyushin IL96;IL96
LRJ;Learjet 35;LJ35
L10;Lockheed L-1011 Tristar;L101
L49;Lockheed L-1049 Super Constellation;CONI
LOH;Lockheed L-182 / 282 / 382 (L-100) Hercules;C130
LOE;Lockheed L-188 Electra;L188
M11;McDonnell Douglas MD-11;MD11
M81;McDonnell Douglas MD-81;MD81
M82;McDonnell Douglas MD-82;MD82
M83;McDonnell Douglas MD-83;MD83
M87;McDonnell Douglas MD-87;MD87
M88;McDonnell Douglas MD-88;MD88
M90;McDonnell Douglas MD-90;MD90
YS1;NAMC YS-11;YS11
BNT;Pilatus Britten-Norman BN-2A Mk III Trislander;TRIS
BNI;Pilatus Britten-Norman BN-2A/B Islander;BN2P
PL2;Pilatus PC-12;PC12
PL6;Pilatus PC-6 Turbo Porter;PC6T
PA2;Piper PA-31 Navajo;PA31
PAG;Piper PA-46;PA46
S20;Saab 2000;SB20
SF3;Saab SF340A/B;SF34
SHB;Shorts SC-5 Belfast;BELF
SH3;Shorts SD.330;SH33
SH6;Shorts SD.360;SH36
S58;Sikorsky S-58T;S58T
SU9;Sukhoi Superjet 100-95;SU95
TU3;Tupolev Tu-134;T134
TU5;Tupolev Tu-154;T154
T20;Tupolev Tu-204;T204
YK4;Yakovlev Yak-40;YK40
YK2;Yakovlev Yak-42;YK42
